address,level,type
tz1KseWbS7f7YQhGsGP8QmXDJyzrKV71xxyj,2,TA
tz1MDZtKooFzmhcPjgWKMsqiKC7DPDYM2bWq,2,TA
tz1MrSstDn96CnAKvmnfNspVXpqZKX1moKdx,2,TA
tz1RnsQi6BaYpm6sMMTkVqGk5Jk6BKpmTp8C,2,TA
tz1U8mFPuyGr48BWnULky9kUqAVQk8ewBHtU,2,TA
tz1VzYo5CSoDaNQV731qdN7pkCgnCfajuje1,2,TA
tz1ZVzMVj6EjRoDNFMCguG7nGdqmD7aau9kS,2,TA
tz1XtjZTzEM6EQ3TnUPUQviCD6WfcsZRHXbj,2,TA
tz1YG4WVDdWhz4Fn7kWfYbsU3W8foipZ1zMz,2,TA
tz1auzguranCBAHCf6s8Nw27gDroPeopXDbJ,2,TA
tz1cALmpTf7EeeSBXHAX2rcnR4WAP8tSWkt6,2,TA
tz1dAW94vB3yYfNPE4LM2txBT8PQ21Zq4Xzf,2,TA
tz1dd2tmTJFRJh8ycLuZeMpKLquJYkMypu2Q,2,TA
tz1g6JRCpsEnD2BLiAzPNK3GBD1fKicV9rCx,2,TA
tz1gMRKQWdhY5ZPUehpHofLswyL8Vexvfpbm,2,TA
tz1ZmLCnKRm9ifqw97vWJwfRfV1jbypd8osJ,2,TA
tz1VdRFNxALoiYPbD7LWdacZQSVcc2YudM6D,2,TA
tz28bm6XBaWD5oz171jQE1HjWmMjRz9jDhv7,2,TA
tz1dP7a85v5fnRf3SGK5A7UZPDH9PKWSdBbb,2,TB
tz1YCisj8qjtM6UWDLH4wPvFNSixiYtoxrZU,2,TB
tz1WJvfnevqRN6RnDDmaDj9S4tuiK2bJjU6a,2,TB
tz1WJpBDRGfa21un4yQDKTGXZw561nsGg7Qe,2,TB
tz1Paiib7duLjk8CqJyLNXYD9farChL1WviK,2,TB
tz1iJP1EtP9iSkmaEKCZznDMst91oJGB9SZ5,2,TB
tz1ZdjR3JnLDgk7gDMWA64cLrKv5ujrSKF28,2,TB
tz2Ki87XPuPNysbdmrJPfgx1xYvBBudow4vm,2,TB
tz1WMwADoVqGCXjKtRLZzuHNNZhkAuf4YnXf,2,TB
tz1P9djZkQKQdvt68eixoyBf8ezNYjgrEdue,2,TC
tz1WaaimeB2PHXsUdMo8PKjrXdF6Rfkehrda,2,TB
tz1Uh5nLxXXaDwVVrVXE2edUmsbJ3mRwBK2D,2,TB
tz1duJ7YyKQj6nsoK6pVPWqmzHvbjhibyefA,2,TB
tz1hHkndmCoSd7LNNK9QZwDJbaWnBmjpQeQX,2,TB
tz1eky73coNLY3e8b3rzBihpkC799Db3UtKp,2,TB
tz1M7n1FpvfKhByTPhW3pwbQv67Ka5YV17BC,2,TB
tz1f94uZ7SF2fLKnMjFzGQTbznd8qpAZ12is,2,TD
tz1YJvMiZyXnzvV9pxtAiuCFvaG7XoBZhbUQ,2,TD
tz1RNaWaAuZjWxmdFzm28pVBgf3bhMcfTN8R,2,TD
tz1Up2nmJXyjKV7HFk2hrHzGcRRe5y5SphiQ,2,TD
tz1YMqQQme7jcERyk2586QDT9fqWGCz9L2fQ,2,TC
tz1hvfkpf7HbnE1Rroi7JbyegVjZzu97Yqw6,2,TC
tz1gVon2mQhvutR49Yd5XK6k4ypwWfFjMZtz,2,EB
tz1duafqHy827Aw6bbFNVqUbpxphm8MSecwU,2,EB
tz1cTS1WwovU7SC783xgJxZrzr151mcshmNi,2,EB
tz1Qk6qSqH7RwcV9eyjCJYPcGJdgM3KdvYdo,2,EB
tz1TudEY3u2CKJJei68PKUAMw7QXiGtV5r5d,1,TG
tz1SckgstpaKyQ8VHwcpKTGv6P8m4SHQ3LPt,1,TG
tz1P5Za1TUMsDejgzMM5iMNfHAxDUpPCHiwZ,1,HD
tz1ibTknNagJCgQPgcbPvJhpSyS5vxgdyFt4,1,HC
tz1d473kD8ctsHnJVtmoLAGW1wBZzYzMuU7n,1,HC
tz1MH7vTRc4yXkttnoU93CYqiZfhEzk7C17a,1,HC
tz1WzQh4yDUuTpZBDdRwMrnkV9bs1upnSANF,1,TB
tz1RJaJXwrqyjUtWyXqcybX77yUKHj8j3oyL,1,TB
tz1Re2s5FTD7A1eXtwpaJy5VnMK7QXWfKhpg,1,TB
tz1ZSneE1cMWJHb5fjeoahhrNMLJkhXAh1Gu,1,TB
tz1dkkfj76D6KkhqwZbDcBy2hRvNc45TEaVM,1,TB
tz1dqLzt1J5BkxUyKxLTsoThtn8ZGMyEF6wE,1,TB
tz1TaF8zuvafii3KddLcKzmSPPDXhf3m8g65,1,TB
tz1hfuVWgcJ89ZE75ut9Qroi3y7GFJL5Lf2K,1,TB
tz2Cviy9tUz3RyzX8CyXWqDhu29S9cL83wof,1,TB
tz1dRwvV7imGaKqMnzeiaTwbDBzXoJa4QF6n,1,TB
tz1Yo4NYTmQSRMqjW4QDNR1PMAvrs43wco8C,1,TB
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU,1,TB
tz1RGQE1HMYMA9VBgsN2zbNvt6nUTBiQNtKW,1,TB
tz1gi68wGST7UtzkNpnnc354mpqCcVNQVcSw,1,TB
tz1PvjrTAMwwKEDshvUC1KWbboZisGpSwbEB,1,TB
tz1ZBMhTa7gxSpaeXoqyc6bTCrxEHfZYSpPt,1,TB
tz1KhAVDecQBh9BZLnN1dUynovHjaNUbNF5d,1,TB
tz1dVWMbVgqCndJesHyF2iTsWgLVst8Gc8iZ,1,TB
tz1c8bog1Hw3c2AUYUcsJrKs1hw9CTfFTeCe,1,TB
tz1U2wsJgebEvS6CZYXn1mjErRU5mSZ2ZS1Z,1,TB
tz1Whv5PSM1KHned6rkVPhvz7W98rVv6ZsxN,1,TB
tz1QrNnoceZUDX1JYNU4LGJBSfBA8utSWbNL,1,TB
tz1aVTWtMA8DWYFQkWLKb1iicEeBJAnZi7Yd,1,TB
tz1SMt9CjnKcZi4Y71zvzGiu5k1BFZx3KXKZ,1,TB
tz1SeV6vmY1nR6xuDPXRx1tWsrhqXCwmXL2j,1,TB
tz1fb6jz7rh4H7AojLShvhiXKaSNDyvkH7sM,1,TB
tz1ZWje5jpfbWrG5iuxz7qUx7eBLLAS5Tv3z,1,TB
tz1ZhteLTqobRVCYsPj44oFfom5BJ2SdGxeE,1,TB
tz1NxuS2icLETzapEUV2KuiRW288SJLvo4W7,1,TB
tz1NFxuaWWsoDTkdSuoieWwVcLzmwvuGrT9L,1,TB
tz1dVxdJwpJixh6Kcd5FZULTfFcR98V7Z2fw,1,TB
tz1i5KBdBxCqMXt6sygw8fCag2tnw6jZsadg,1,TB
tz1ei1F88rJANqTPTamanB4Sxp3jqc9aXLcb,1,TB
tz1YjXMoSTkb7Rhns3khayT1zsugtfqFdB84,1,TB
tz1hiLtkig3nYxJjMwa7BLw73isLJNpn3SST,1,TB
tz1Tguuqstpgd77A7uvnKEgoMcAfcEzTQaSm,1,TH
tz1codeYURj5z49HKX9zmLHms2vJN2qDjrtt,1,TH
tz1VnXcjqjhUitHDN7p3jVSwAVwWRqw6tW4R,1,TH
tz1RPZp6NLzn7x4g7jhqHtCkhCQVnhbVMj8y,1,TH
tz1Yk1b2AYAucJjUM4jM7GRhF7UDuLSiGAQi,1,TH
tz1XQ7QFCbNZiv6efCyLKhcfyQA4pG54jaoT,1,TI
tz1cNFGNAQrFQucdvc4txsdR8rEuHkUUYrjJ,2,TE
tz1iaVFySeteNqer5NcmNaxUdBW4bbrtNakb,2,TE
tz1iYhY9TDyFji8e5d3wUpiKWuBXupmQGenr,2,TE
tz1V9ZviaGUWZjGx4U7cGYFEyUGyqpFnVGXx,1,EF
tz1gweZ5MNRidncb2TS1Vyy63ZqwGhVwPiQm,1,EF
tz1Kx4ydaiJHThd2nTgXR25JPTZtKyLG9KC1,1,ED
tz1RAP1j8SjwT587jyccTNArBFhC9HhGKfHq,1,ED
tz2HwP1JKEjEy4H8RxPMkoHWuSzUWZsRSC3R,1,ED
tz1biyDVy4Zq4vZyc91eJAKi7wYbNFPJTzHD,1,ED
tz1idXHsszoVBhfEPKp4y7QzhpwNgD281FMn,1,ED
tz2G1mr6vbdn48tfP73KZcS6oBpDrUuXJFL3,1,ED
tz1PqooZUtCQqP539PmMzUWHtaUX6EQtFY5S,1,ED
tz1XrutuvkFRG15HmV2gdon86F38NMMGMAXr,1,ED
tz1Mh7WrKQP4PTio9NJUZL4iPW8f9tzBSv1U,1,ED
tz1exaxBAyyRnR2KUf11VjF7tDTpVcDbxrAJ,1,ED
tz1PzXjyPchzGUGH9yXLTgvyhhakFnyYDYge,1,ED
tz2MsPvLKFjitWQFbvKdCKjyJCzfPS6nfGNK,1,ED
tz2WNxPcE7JZhAFfqGEHkMtd2gcHaeiJKMWE,1,ED
tz1Roq6end2LFtkpGrmuyRZH82xsWfaRCat1,1,ED
tz1a2ZeWmyNQ8BiuFNTE4vmFEP9MBaP76QPX,1,ED
tz1VgpmwW66LCbskjudK54Zp96vKn2cHjpGN,1,ED
tz1M8uUq34Mi9GzWGjQ53y8QV6Uv4tP2Rg1E,1,ED
tz1Ks8hgrG2qfj7ZWREcLxSKUQBJcBqnrRSr,1,ED
tz1WFSn2Ryf8tBygaFC2SiUMW47di4SHhavW,1,EC
tz1e2kmCAyN2c2ZKN5w1GbC1dfauoAgEopwV,1,EC
tz1SmARTPyKi1H62pGSWuT4xxHRC1cqF297f,1,EC
tz1SMaRtPy1cTwjbT5E5CzM6xCq2Rkp6krCd,1,EC
tz1LKpeN8ZSSFNyTWiBNaE4u4sjaq7J1Vz2z,1,EC
tz1imbjNKhiwdkbHth6kWSvHsvCvxfETGtM2,1,EC
tz1QGCWjNpYmcS6T9qFGYSam25e36WeFUCK4,1,EC
tz1WidyAU8wuyG25Pd7b93bcx9hMu7W9Pea8,1,EC
tz1eht4WAjkqU7kaupJd8qCDmec9HuKfGf68,1,EC
tz1eeq85Mq5Ypi19RsCWgc3QtzHKE4NnkjKR,1,EC
tz1ZZw3FSj14D27K37FMVkRiHWgS9doQ5L8m,1,EC
tz1PoDdN2oyRyF6DA73zTWAWYhNL4UGr3Egj,1,EC
tz1UQpm4CRWUTY9GBxmU8bWR8rxMHCu7jxjV,1,EC
tz1ZfApCB1rmfyByn9e1jj1w9jLSY1wfu9dm,1,EC
tz1SnBug618LfchQZqvkJXJqyKLng7GpHjNs,1,EC
tz1bao7rKjcDyuDaxbLfaZ35bPMgUG6CwBc8,1,EC
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,HA
tz1hpdyGDit2se5ztF2Y9piXQfc3rFhYot9t,1,HA
tz1cNnEdJYgbkB8YN6vD5QJTBays2EJsw5A7,1,HA
tz1UAY5RSuG6nRJhdHDVMVSg9Lt2pSZez5JR,1,HA
tz1iyFi4WjSttoja7Vi1EJYMEKKSebQyMkF9,1,HA
tz1gsUr2fTHmSW7JWUWvN1aYjGzEGr5jNucp,1,HA
tz1g7Aaac9ssD7cDUTngyXyx8QiVUsAVZCjQ,1,HA
tz1Y1j7FK1X9Rrv2VdPz5bXoU7SszF8W1RnK,1,HA
tz1W53EJmVunAm99M5RkCviEvumRhwBKLEB5,1,HA
tz1b1sH2FmuVazszFdkUn8GvfvZpNxSa7C8J,1,HB
tz1Z1mMAbNr8SquKcMmBP6cEGA7cifvjvyRB,1,HB
tz1hb9PiWxQEf6J9xevPsUM6dkuCLnhDMvsp,1,HB
tz1ZTDCfahwoYqF6sJmxTmbtGDskPoAateJX,1,HB
tz1cAKA16x3ZwLxrg5v8jHCNxHfHJCmiSQjR,1,HB
tz1d2rUGp2s6Bx8EwVyxxYVa7gJXRA83gAqB,1,HB
tz1i37UPAXfwt4xRG7CrDtxAN4mGxHVBSKUM,1,HB
tz1TQ3Gi42BHwJvNCDLGFVXxYcn4p9AkrvRC,1,HB
tz1gez3dFmyYCgyw8PnZ2UJbW7utysomtAHo,1,HB
tz1RfxkAQZc1WLcqvYUbp1j6C1datLG1eA56,1,HB
tz1eMB1QWfoF79t95qaacLS4RWNiCnfq6cFW,1,HB
tz1LAdqCcvhj438mV4ADMuGkhtyjMJgqPnYX,1,HB
tz1iriVRaQWaU97xwzxXZbmNREKm332MuixZ,1,HB
tz2AEFtv5gNGDfmj3C7jggf17DfSCr9furHs,1,HB
tz1WmybeHDkwxKDj4cV4T7P7T4WS4x6ZTriv,1,HB
tz1THwbFPPPBHmBu4cmLV2SppLFrA5QfBhyF,1,HB
tz1XYkHggnKNoYbm965gwKattMWK6bomgVSX,1,HB
tz1dS3h1X7GgMB98xypepPsmSRJ2xozxFEqS,1,HB
tz1LJhLRVc5wXjvQzir5ccTWKfKaCPi459F3,1,HB
tz1NYk7bVipVCTTiyqxzrevJiR7jbRH6hFw4,1,HB
tz1ahHn8hpmV5b9KjvHDNMjMijXV7URzT45x,1,HB
tz1SbPqeXzDLBveaDonADGSBCso3ta7jenHP,1,HB
tz1NaaW8HM3Msa19ssPo5ftDTAvrs7ifUDtr,1,HB
tz2WtFZKsUdx3gQzg5JKbvC4NdeDXi6z1SUE,1,HB
tz1Yz6r7F6NJWoBNzTrJVvtgCKTQqESSGWqd,1,HB
tz1UecmgMghaWovhh9EYfqTrK9gTtaiMtbzs,1,HB
tz1ZMDCUyEvsQykWuxTkBzVDcTzMtUEwTeiw,1,HB
tz1Zy776w4Br4asmH2Z9FNdUUHiZ4Gwbo4ok,1,HB
tz1gvGEV7rdTfrzQY4N5AipmYqwGGddgs7QN,1,HB